identity_type,identity
github_login,invalid-email-address
github_login,github
github_login,""
github_login," "
github_login,bors
github_login,traviscibot
github_login,rust-highfive
github_login,minybot
github_login,risqbot
github_login,rustfixbot
github_login,artichoke-ci
github_login,nearprotocol-ci
email,""
email," "
email,svcscm@fb.com
email,travis@travis-ci.org
email,support@dependabot.com
email,localhost
email,none
email,=
email,n/a
email,N/A
email,ci
email,null
email,travis
email,gh-actions
email,"gitlab ci"
email,email
email,"--global"
email,"doc bot"
email,unknown
email,gaming.bot.discord@gmail.com
email,release+servo@mozilla.com
email,gha@ci.invalid
email,ci-build@calibra.com
email,alsuren+quickinstall@gmail.com
email,email
"github_login","actions-user"
"email","commit-bot@chromium.org@2bbb7eff-a529-9590-31e7-b0007b416f81"
"github_login","kl-botsu"
"gitlab_login","HibiBot"
"email","bot@mtgoncurve.com"
"email","bot@wasmer.io"
"email","docbot@travis"
"email","bot@cepler.dev"
"github_login","cpground"
"email","bot@aleo.org"
"github_login","hacknbot"
"email","bot@getsentry.com"
"email","botbob@disroot.org"
"github_login","devolutionsbot"
"email","gh-bot@azyobuzi.net"
"github_login","deepsourcebot"
"github_login","ReadmeCritic"
"email","watawuwu+ghbot@3bi.tech"
"email","bot@bot"
"email","bots@solana.io"
"email","tidy.bot@example.com"
"email","commit-bot@chromium.org"
"email","Bot"
"github_login","mimblewimble-robot"
"github_login","Tankobot"
"email","docs-bot@ethereum.org"
"email","bots@solana.com"
"github_login","greenrobot"
"github_login","amiarobot"
"github_login","Open-Source-Bot"
"github_login","denobot"
"github_login","qedabot"
"email","moz-tools-bot@moz.tools"
"github_login","CodeLingoBot"
"email","facebook-github-bot-8-bot@fb.com"
"email","facebook-github-bot-5-bot@fb.com"
"email","robot9@fb.com"
